event_id,user_id,provider_id,views,clicks,messages,rating,price,avg_response_time,user_avg_price,user_avg_response_time,user_total_bookings,hired
40,32,12,1,7,11,3.5,178333.333333,0.0,40000.0,16.0,3,0
39,31,12,1,7,11,3.5,178333.333333,0.0,10000.0,24.0,2,0
38,32,12,1,7,11,3.5,178333.333333,0.0,40000.0,16.0,3,0
37,32,12,1,7,11,3.5,178333.333333,0.0,40000.0,16.0,3,0
36,32,12,1,7,11,3.5,178333.333333,0.0,40000.0,16.0,3,0
34,32,12,1,7,11,3.5,178333.333333,0.0,40000.0,16.0,3,0
33,32,12,1,7,11,3.5,178333.333333,0.0,40000.0,16.0,3,1
25,32,12,1,7,11,3.5,178333.333333,0.0,40000.0,16.0,3,0
24,32,14,0,0,0,0.0,0.0,24.0,40000.0,16.0,3,0
22,33,12,1,7,11,3.5,178333.333333,0.0,0.0,24.0,1,1
19,31,12,1,7,11,3.5,178333.333333,0.0,10000.0,24.0,2,1
18,31,12,1,7,11,3.5,178333.333333,0.0,10000.0,24.0,2,0
17,31,12,1,7,11,3.5,178333.333333,0.0,10000.0,24.0,2,0
16,31,12,1,7,11,3.5,178333.333333,0.0,10000.0,24.0,2,0
15,11,16,0,1,0,2.0,0.0,24.0,0.0,24.0,3,0
14,11,16,0,1,0,2.0,0.0,24.0,0.0,24.0,3,0
13,11,15,0,1,0,0.0,0.0,24.0,0.0,24.0,3,0
12,11,15,0,1,0,0.0,0.0,24.0,0.0,24.0,3,0
11,11,12,1,7,11,3.5,178333.333333,0.0,0.0,24.0,3,0
10,11,12,1,7,11,3.5,178333.333333,0.0,0.0,24.0,3,0
9,11,12,1,7,11,3.5,178333.333333,0.0,0.0,24.0,3,0
4,31,12,1,7,11,3.5,178333.333333,0.0,10000.0,24.0,2,1
3,11,16,0,1,0,2.0,0.0,24.0,0.0,24.0,3,1
2,11,12,1,7,11,3.5,178333.333333,0.0,0.0,24.0,3,1
1,11,12,1,7,11,3.5,178333.333333,0.0,0.0,24.0,3,1
